342,344	Piece of My Heart 	Big Brother and the Holding Company	196
343,345	La Bamba	Ritchie Valens	1958
344,346	California Love	Dr. Dre and 2Pac	1996
345,347	Candle in the Wind	Elton John	1973
346,348	The Lady (Part 1 and 2)	The Isley Brothers	1973
347,349	Spanish Harlem	Ben E. King	1960
348,350	The Loco-Motion	Little Eva	1962
349,351	The Great Pretender	The Platters	1955
350,352	All Shook Up	Elvis Presley	1957
351,353	Tears in Heaven	Eric Clapton	1992
352,354	Watching the Detectives	Elvis Costello	1977
353,355	Bad Moon Rising	Creedence Clearwater Revival	1969
354,356	Sweet Dreams (Are Made of This)	Eurythmics	1983
355,357	Little Wing	Jimi Hendrix	1968
356,358	Nowhere to Run	Martha and the Vandellas	1965
357,359	Get My Mojo Working	Muddy Waters	1957
358,360	Killing Me Softly With His Song	Roberta Flack	1973
359,361	Complete Control	The Clash	1979
360,362	All You Need Is Love	The Beatles	1967
361,363	The Letter	The Box Tops	1967
362,364	Highway 61 Revisited	Bob Dylan	1965
363,365	Unchained Melody	The Righteous Brothers	1965
364,366	How Deep Is Your Love	The Bee Gees	1977
365,367	White Room	Cream	1968
366,368	Personal Jesus	Depeche Mode	1989
367,369	I'm a Man	Bo Diddley	1955
368,370	The Wind Cries Mary	Jimi Hendrix	1967
369,371	I Can't Explain	The Who	1965
370,372	Marquee Moon	Television	1977
371,373	Wonderful World	Sam Cooke	1969
372,374	Brown Eyed Handsome Man	Chuck Berry	1956
373,375	Another Brick in the Wall Part 2	Pink Floyd	1979
374,376	Fake Plastic Trees	Radiohead	1995
375,377	Hit the Road Jack	Ray Charles	1961
376,378	Pride (In the Name of Love)	U2	1984
377,379	Radio Free Europe	R.E.M.	1983
378,380	Goodbye Yellow Brick Road	Elton John	1973
379,381	Tell It Like It Is	Aaron Neville	1966
380,382	Bitter Sweet Symphony	The Verve	1997
381,383	Whipping Post	The Allman Brothers Band	1969
382,384	Ticket To Ride	The Beatles	1965
383,"385	Ohio	""Crosby, Stills, Nash and Young""	1970"
384,386	I Know You Got Soul	Eric B and Rakim	1987
385,387	Tiny Dancer	Elton John	1971
386,388	Roxanne	The Police	1979
387,389	Just My Imagination	The Temptations	1971
388,390	Baby I Need Your Loving	The Four Tops	1964
389,391	Band of Gold	Freda Payne	1970
390,392	O-o-h Child	The Five Stairsteps	1970
391,393	Summer In the City	The Lovin' Spoonful	1966
392,394	Can't Help Falling in Love	Elvis Presley	1961
393,395	Remember (Walkin' in the Sand)	The Shangri-Las	1964
394,396	Thirteen	Big Star	1972
395,397	(Don't Fear) the Reaper	Blue Oyster Cult	1976
396,398	Sweet Home Alabama	Lynyrd Skynyrd	1974
397,399	Enter Sandman	Metallica	1991
398,400	Kicks	Paul Revere and the Raiders	1966
399,401	Tonight's the Night	The Shirelles	1960
400,402	Thank You (Falettinme Be Mice Elf Agin)	Sly and the Family
401,403	C'mon Everybody	Eddie Cochran	1958
402,404	Visions of Johanna	Bob Dylan	1966
403,405	We've Only Just Begun	The Carpenters	1970
404,406	I Believe I Can Fly	R. Kelly	1996
405,407	In Bloom	Nirvana	1991
406,408	Sweet Emotion	Aerosmith	1975
407,409	Crossroads	Cream	1968
408,410	Monkey Gone to Heaven	The Pixies	1989
409,411	I Feel Love	Donna Summer	1977
410,412	Ode to Billie Joe	Bobby Gentry	1967
411,413	The Girl Can't Help It	Little Richard	1957
412,414	Young Blood	The Coasters	1957
413,415	I Can't Help Myself	The Four Tops	1965
414,416	The Boys of Summer	Don Henley	1984
415,417	Fuck tha Police	N.W.A.	1989
416,"418	Suite: Judy Blue Eyes	""Crosby, Stills & Nash""	1969"
417,419	Nuthin' But a 'G' Thang	Dr. Dre	1993
418,420	It's Your Thing	The Isley Brothers	1969
419,421	Piano Man	Billy Joel	1973
420,422	Lola	The Kinks	1970
421,423	Blue Suede Shoes	Elvis Presley	1956
422,424	Tumbling Dice	The Rolling Dice	1972
423,"425	""William, It Was Really Nothing""	The Smiths	1984"
424,426	Smoke on the Water	Deep Purple	1973
425,427	New Year's Day	U2	1983
426,428	Devil With a Blue Dress On / Good Golly Miss Molly	Mitch R
427,429	Everybody Needs Somebody to Love	Solomon Burke	1964
428,430	White Man in Hammersmith Palais	The Clash	1979
429,431	Ain't It a Shame	Fats Domino	1955
430,432	Midnight Train to Georgia	Gladys Knight and the Pips	1973
431,433	Ramble On	Led Zeppelin	1969
432,434	Mustang Sally	Wilson Pickett	1966
433,435	Beast of Burden	The Rolling Stones	1978
434,436	Alone Again Or	Love	1968
435,437	Love Me Tender	Elvis Presley	1956
436,438	I Wanna Be Your Dog	The Stooges	1969
437,439	Pink Houses	John Cougar Mellencamp	1983
438,440	Push It	Salt-n-Pepa	1987
439,441	Come Go With Me	The Del-Vikings	1957
440,442	Keep a Knockin'	Little Richard	1957
441,443	I Shot the Sheriff	Bob Marley and the Wailers	1973
442,444	I Got You Babe	Sonny and Cher	1965
443,445	Come As You Are	Nirvana	1991
444,446	Pressure Drop	Toots and the Maytals	1973
445,447	Leader of the Pack	The Shangri-Las	1964
446,448	Heroin	The Velvet Underground	1967
447,449	Penny Lane	The Beatles	1967
448,450	By the Time I Get to Phoenix	Glen Campbell	1967
449,451	The Twist	Chubby Checker	1960
450,452	Cupid	Sam Cooke	1961
451,453	Paradise City	Guns N' Roses	1987
452,454	My Sweet Lord	George Harrison	1970
453,455	All Apologies	Nirvana	1993
454,456	Stagger Lee	Lloyd Price	1958
455,457	Sheena Is a Punk Rocker	The Ramones	1977
456,458	Soul Man	Sam and Dave	1967
457,459	Rollin' Stone	Muddy Waters	1948
458,460	One Fine Day	The Chiffons	1963
459,461	Kiss	Prince	1986
460,462	Respect Yourself	The Staple Singers	1971
461,463	Rain	The Beatles	1966
462,464	Standing in the Shadows of Love	The Four Tops	1966
463,465	Surrender	Cheap Trick	1978
464,466	Runaway	Del Shannon	1961
465,467	Welcome to the Jungle	Guns N' Roses	1987
466,468	Search and Destroy	The Stooges	1973
467,469	It's Too Late	Carole King	1970
468,470	Free Man in Paris	Joni Mitchell	1974
469,471	On the Road Again	Willie Nelson	1980
470,472	Where Did Our Love Go	The Supremes	1964
471,"473	""Do Right Woman, Do Right Man""	Aretha Franklin	1967"
472,474	One Nation Under a Groove	Funkadelic	1978
473,475	Sabotage	The Beastie Boys	1994
474,476	I Want to Know What Love Is	Foreigner	1984
475,477	Super Freak	Rick James	1981
476,478	White Rabbit	Jefferson Airplaine	1967
477,479	Lady Marmalade	Labelle	1975
478,480	Into the Mystic	Van Morrison	1970
479,481	Young Americans	David Bowie	1975
480,482	I'm Eighteen	Alice Cooper	1971
481,483	Just Like Heaven	The Cure	1987
482,484	I Love Rock 'N Roll	Joan Jett	1982
483,485	Graceland	Paul Simon	1986
484,486	How Soon Is Now?	The Smiths	1985
485,487	Under the Boardwalk	The Drifters	1964
486,488	Rhiannon (Will You Ever Win)	Fleetwood Mac	1975
487,489	I Will Survive	Gloria Gaynor	1978
488,490	Brown Sugar	The Rolling Stones	1971
489,491	You Don't Have to Say You Love Me	Dusty Springfield	1966
490,492	Running On Empty	Jackson Browne	1977
491,493	Then He Kissed Me	The Crystals	1963
492,494	Desperado	The Eagles	1973
493,495	Shop Around	The Miracles	1960
494,496	Miss You	The Rolling Stones	1978
495,497	Buddy Holly	Weezer	1994
496,498	Rainy Night in Georgia	Brook Benton	1970
497,499	The Boys Are Back in Town	Thin Lizzy	1976
498,500	More Than a Feeling	Boston	1976
